Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,6.3878476e7
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,1.3915376e8
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3.442279e8
NENGREST,NENGREST_natural_gas_fired_combined_cycle_1,1,1,2.5220533e8
NENGREST,NENGREST_natural_gas_fired_combined_cycle_2,1,2,3569.0554
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_1,1,1,319070.12
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_2,1,2,3.5861564e7
NENGREST,NENGREST_natural_gas_steam_turbine_1,1,1,361178.5
NENGREST,NENGREST_nuclear_1,1,1,7.4635046e8
NENGREST,NENGREST_offshore_wind_turbine_1,1,1,1.8072376e7
NENGREST,NENGREST_onshore_wind_turbine_1,1,1,1.3787381e7
NENGREST,NENGREST_small_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_solar_photovoltaic_1,1,1,5.390578e7
NENG_CT,NENG_CT_biomass_1,1,1,1.6407453e7
NENG_CT,NENG_CT_conventional_hydroelectric_1,1,1,1.2405983e7
NENG_CT,NENG_CT_hydroelectric_pumped_storage_1,1,1,6.1889115e6
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_1,1,1,1.06832986e9
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_2,1,2,1325.5345
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_1,1,1,972405.1
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_2,1,2,738601.25
NENG_CT,NENG_CT_nuclear_1,1,1,1.2997391e9
NENG_CT,NENG_CT_onshore_wind_turbine_1,1,1,632594.6
NENG_CT,NENG_CT_small_hydroelectric_1,1,1,0.0
NENG_CT,NENG_CT_solar_photovoltaic_1,1,1,2.5424608e7
NENG_ME,NENG_ME_biomass_1,1,1,1.5028909e7
NENG_ME,NENG_ME_conventional_hydroelectric_1,1,1,1.1949323e8
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_1,1,1,871.1604
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_2,1,2,1.1523463e8
NENG_ME,NENG_ME_natural_gas_fired_combustion_turbine_1,1,1,9.359423e7
NENG_ME,NENG_ME_onshore_wind_turbine_1,1,1,1.28746376e8
NENG_ME,NENG_ME_small_hydroelectric_1,1,1,0.0
NENG_ME,NENG_ME_solar_photovoltaic_1,1,1,765893.25
NENGREST,NENGREST_naturalgas_ccccsavgcf_mid_0,1,0,0.0
NENGREST,NENGREST_naturalgas_ccavgcf_mid_0,1,0,7884.9893
NENGREST,NENGREST_naturalgas_ctavgcf_mid_0,1,0,824.8422
NENGREST,NENGREST_battery_mid_0,1,0,1.5932399e7
NENGREST,NENGREST_naturalgas_ccs100_mid_0,1,0,0.0
NENGREST,NENGREST_landbasedwind_ltrg1_mid_130_1,1,1,331.98346
NENGREST,NENGREST_utilitypv_losangeles_mid_80_0_2_1,1,1,2.6322803e8
NENGREST,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,1.4890714e9
NENG_CT,NENG_CT_naturalgas_ccccsavgcf_mid_0,1,0,0.0
NENG_CT,NENG_CT_naturalgas_ccavgcf_mid_0,1,0,10230.991
NENG_CT,NENG_CT_naturalgas_ctavgcf_mid_0,1,0,871.1111
NENG_CT,NENG_CT_battery_mid_0,1,0,1.5932399e7
NENG_CT,NENG_CT_naturalgas_ccs100_mid_0,1,0,0.0
NENG_CT,NENG_CT_landbasedwind_ltrg1_mid_110_1,1,1,168.61621
NENG_CT,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,1,1,3.0721126e8
NENG_CT,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,289.29318
NENG_ME,NENG_ME_naturalgas_ccccsavgcf_mid_0,1,0,0.0
NENG_ME,NENG_ME_naturalgas_ccavgcf_mid_0,1,0,10230.991
NENG_ME,NENG_ME_naturalgas_ctavgcf_mid_0,1,0,871.1111
NENG_ME,NENG_ME_battery_mid_0,1,0,1.5932399e7
NENG_ME,NENG_ME_naturalgas_ccs100_mid_0,1,0,0.0
NENG_ME,NENG_ME_landbasedwind_ltrg1_mid_110_1,1,1,1.13768904e8
NENG_ME,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,1,1,4.9168333e8
NENGREST,NENGREST_heat_load_shifting_1,1,1,5.2393716e7
NENG_CT,NENG_CT_heat_load_shifting_1,1,1,1.4905739e7
NENG_ME,NENG_ME_heat_load_shifting_1,1,1,7.1172285e6
NENGREST,NENGREST_Fusion,1,1,1.1656812e9
