region,Resource,zone,Cluster,R_ID,CapRes_1,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,1,1727835,1727835
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,3462375,3462375
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,29404403,29404403
NENGREST,NENGREST_natural_gas_fired_combined_cycle_1,1,1,4,115294862,115294862
NENGREST,NENGREST_natural_gas_fired_combined_cycle_2,1,2,5,37196246,37196246
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_1,1,1,6,4924866,4924866
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_2,1,2,7,1021291,1021291
NENGREST,NENGREST_natural_gas_steam_turbine_1,1,1,8,9774,9774
NENGREST,NENGREST_nuclear_1,1,1,9,20233174,20233174
NENGREST,NENGREST_offshore_wind_turbine_1,1,1,10,420408,420408
NENGREST,NENGREST_onshore_wind_turbine_1,1,1,11,258271,258271
NENGREST,NENGREST_small_hydroelectric_1,1,1,12,0,0
NENGREST,NENGREST_solar_photovoltaic_1,1,1,13,304628,304628
NENG_CT,NENG_CT_biomass_1,1,1,14,443892,443892
NENG_CT,NENG_CT_conventional_hydroelectric_1,1,1,15,367911,367911
NENG_CT,NENG_CT_hydroelectric_pumped_storage_1,1,1,16,515396,515396
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_1,1,1,17,56833768,56833768
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_2,1,2,18,535699,535699
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_1,1,1,19,7070111,7070111
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_2,1,2,20,2034515,2034515
NENG_CT,NENG_CT_nuclear_1,1,1,21,35235371,35235371
NENG_CT,NENG_CT_onshore_wind_turbine_1,1,1,22,3743,3743
NENG_CT,NENG_CT_small_hydroelectric_1,1,1,23,0,0
NENG_CT,NENG_CT_solar_photovoltaic_1,1,1,24,154899,154899
NENG_ME,NENG_ME_biomass_1,1,1,25,406455,406455
NENG_ME,NENG_ME_conventional_hydroelectric_1,1,1,26,3056722,3056722
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_1,1,1,27,4136120,4136120
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_2,1,2,28,18149577,18149577
NENG_ME,NENG_ME_natural_gas_fired_combustion_turbine_1,1,1,29,2663286,2663286
NENG_ME,NENG_ME_onshore_wind_turbine_1,1,1,30,920244,920244
NENG_ME,NENG_ME_small_hydroelectric_1,1,1,31,0,0
NENG_ME,NENG_ME_solar_photovoltaic_1,1,1,32,6845,6845
NENGREST,NENGREST_naturalgas_ccccsavgcf_mid_0,1,0,33,0,0
NENGREST,NENGREST_naturalgas_ccavgcf_mid_0,1,0,34,301,301
NENGREST,NENGREST_naturalgas_ctavgcf_mid_0,1,0,35,91,91
NENGREST,NENGREST_battery_mid_0,1,0,36,1685270,1685270
NENGREST,NENGREST_naturalgas_ccs100_mid_0,1,0,37,0,0
NENGREST,NENGREST_landbasedwind_ltrg1_mid_130_1,1,1,38,6,6
NENGREST,NENGREST_utilitypv_losangeles_mid_80_0_2_1,1,1,39,1816804,1816804
NENGREST,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,40,19693515,19693515
NENG_CT,NENG_CT_naturalgas_ccccsavgcf_mid_0,1,0,41,0,0
NENG_CT,NENG_CT_naturalgas_ccavgcf_mid_0,1,0,42,376,376
NENG_CT,NENG_CT_naturalgas_ctavgcf_mid_0,1,0,43,92,92
NENG_CT,NENG_CT_battery_mid_0,1,0,44,1685270,1685270
NENG_CT,NENG_CT_naturalgas_ccs100_mid_0,1,0,45,0,0
NENG_CT,NENG_CT_landbasedwind_ltrg1_mid_110_1,1,1,46,2,2
NENG_CT,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,1,1,47,1597844,1597844
NENG_CT,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,48,3,3
NENG_ME,NENG_ME_naturalgas_ccccsavgcf_mid_0,1,0,49,0,0
NENG_ME,NENG_ME_naturalgas_ccavgcf_mid_0,1,0,50,376,376
NENG_ME,NENG_ME_naturalgas_ctavgcf_mid_0,1,0,51,92,92
NENG_ME,NENG_ME_battery_mid_0,1,0,52,1685270,1685270
NENG_ME,NENG_ME_naturalgas_ccs100_mid_0,1,0,53,0,0
NENG_ME,NENG_ME_landbasedwind_ltrg1_mid_110_1,1,1,54,892568,892568
NENG_ME,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,1,1,55,3744675,3744675
NENGREST,NENGREST_heat_load_shifting_1,1,1,56,2266202,2266202
NENG_CT,NENG_CT_heat_load_shifting_1,1,1,57,647210,647210
NENG_ME,NENG_ME_heat_load_shifting_1,1,1,58,308999,308999
NENGREST,NENGREST_Fusion,1,1,59,41529529,41529529
